HD,Name,TIC,V,Teff,L,e.L.,rho,e.rho.,Dnu,eps,vsini,e.vsini.,F0,logg,Teff_mast,e_logg,e_Teff_mast,stellar_radius,e_stellar_radius,L_mast,dnu_muhz,ID
39060.0,betaPic,270577175,3.85,8080.0,8.49,0.39,0.45,0.05,6.95,,122.0,,,4.35072,8038.68,,,1.54416,,8.970551,80.43981481481481,TESS2019006130736-S0007-0000000270577175-0131-S_LC_DET
40317.0,,282265535,8.45,8700.0,10.58,0.55,0.51,0.06,6.95,1.63,,,18.2785,4.31587,7756.0,0.0763161,132.995,1.55797,0.0459799,7.91345263,80.43981481481481,TESS2018349182459-S0006-0000000282265535-0126-S_LC_DET
42005.0,,408906554,9.54,8030.0,8.75,0.42,0.42,0.05,7.16,1.57,130.0,30.0,18.4012,4.34199,8026.0,0.0738764,162.534,1.55615,0.047201,9.053006,82.87037037037037,TESS2018349182459-S0006-0000000408906554-0126-S_LC_DET
42608.0,,37498433,9.85,8170.0,10.05,0.49,0.4,0.05,7.1,1.57,41.0,1.0,18.247,4.33734,8114.0,0.0781188,123.042,1.57614,0.0525879,9.70116,82.17592592592592,TESS2018349182459-S0006-0000000037498433-0126-S_LC_DET
42915.0,,124429243,9.04,8520.0,12.82,0.68,0.38,0.05,6.4,,118.0,5.0,,4.31979,8462.0,0.0735198,129.78,1.66094,0.0556382,12.7436142,74.07407407407408,TESS2018349182459-S0006-0000000124429243-0126-S_LC_DET
44726.0,,150272131,10.38,7890.0,7.87,0.38,0.44,0.05,7.25,1.7,130.0,40.0,19.575,4.18186,7421.98,0.0817927,115.665,1.75116,0.0641834,8.383549,83.91203703703704,TESS2018263035959-S0003-0000000150272131-0123-S_LC_DET
44930.0,,34737955,9.42,7320.0,7.17,0.4,0.33,0.05,6.03,1.67,,,16.1001,4.23462,7282.0,0.0825063,158.003,1.62011,0.0636055,6.649436,69.79166666666667,TESS2018349182459-S0006-0000000034737955-0126-S_LC_DET
44958.0,V435Car,255548143,6.74,7660.0,7.82,0.32,0.38,0.05,6.9,1.58,114.0,11.0,17.802,4.30881,7762.0,0.0862796,194.698,1.56983,0.0644523,8.05929,79.86111111111111,TESS2018319095959-S0005-0000000255548143-0125-S_LC_DET
45424.0,,117766204,7.18,8060.0,10.39,0.44,0.36,0.04,6.54,1.86,,,18.7044,4.32794,8197.0,0.0736713,145.703,1.6094,0.0497487,10.5351419,75.69444444444444,TESS2018349182459-S0006-0000000117766204-0126-S_LC_DET
46722.0,,172193026,9.29,7810.0,8.28,0.4,0.4,0.05,6.45,1.71,,,17.4795,4.30634,7786.0,0.0738781,135.586,1.58031,0.0436433,8.268734,74.65277777777777,TESS2018349182459-S0006-0000000172193026-0126-S_LC_DET
